Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Begin Hour	Begin Path	Begin File	File Offset (s)	Delta Time (s)	SNR NIST Quick (dB)	Tag	Notes	VF2
260	Spectrogram 1	3	204666.020000000	204668.110000000	30.500	244.300		56	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_084500Z.aif	71485MD03_002K_M12_multi_20160128_084500Z.aif	366.0200	2.0900	15.48	NARW		v
261	Spectrogram 1	8	204825.810000000	204828.860000000	53.400	320.600		56	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_084500Z.aif	71485MD03_002K_M12_multi_20160128_084500Z.aif	525.8100	3.0500	19.26	NARW		v
262	Spectrogram 1	7	204827.560000000	204830.110000000	64.900	263.400		56	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_084500Z.aif	71485MD03_002K_M12_multi_20160128_084500Z.aif	527.5600	2.5500	15.90	NARW		v
263	Spectrogram 1	11	204827.680000000	204830.390000000	57.300	271.000		56	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_084500Z.aif	71485MD03_002K_M12_multi_20160128_084500Z.aif	527.6800	2.7100	19.16	NARW		v
264	Spectrogram 1	4	204831.350000000	204833.510000000	68.700	297.700		56	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_084500Z.aif	71485MD03_002K_M12_multi_20160128_084500Z.aif	531.3500	2.1600	14.91	NARW		v
265	Spectrogram 1	6	204832.830000000	204835.490000000	84.000	355.000		56	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_084500Z.aif	71485MD03_002K_M12_multi_20160128_084500Z.aif	532.8300	2.6600	17.13	NARW		v
266	Spectrogram 1	3	204835.600000000	204838.320000000	45.800	290.100		56	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_084500Z.aif	71485MD03_002K_M12_multi_20160128_084500Z.aif	535.6000	2.7200	15.29	NARW		v
267	Spectrogram 1	8	205138.080000000	205139.890000000	57.300	236.600		56	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_084500Z.aif	71485MD03_002K_M12_multi_20160128_084500Z.aif	838.0800	1.8100	16.22	NARW		v
268	Spectrogram 1	11	205139.150000000	205141.470000000	34.400	229.000		56	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_084500Z.aif	71485MD03_002K_M12_multi_20160128_084500Z.aif	839.1500	2.3200	20.09	NARW		v
269	Spectrogram 1	7	205139.490000000	205141.300000000	34.400	225.200		56	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_084500Z.aif	71485MD03_002K_M12_multi_20160128_084500Z.aif	839.4900	1.8100	18.57	NARW		v
270	Spectrogram 1	4	205143.340000000	205145.210000000	42.000	263.400		56	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_084500Z.aif	71485MD03_002K_M12_multi_20160128_084500Z.aif	843.3400	1.8700	18.51	NARW		v
271	Spectrogram 1	6	205144.870000000	205146.630000000	30.500	255.700		56	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_084500Z.aif	71485MD03_002K_M12_multi_20160128_084500Z.aif	844.8700	1.7600	20.72	NARW		v
272	Spectrogram 1	3	205147.530000000	205149.570000000	22.900	259.500		56	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_084500Z.aif	71485MD03_002K_M12_multi_20160128_084500Z.aif	847.5300	2.0400	14.84	NARW		v
273	Spectrogram 1	1	205955.750000000	205957.510000000	91.600	206.100		57	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_090000Z.aif	71485MD03_002K_M12_multi_20160128_090000Z.aif	755.7500	1.7600	13.03	NARW		v
274	Spectrogram 1	1	206124.260000000	206126.410000000	42.000	232.800		57	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_091500Z.aif	71485MD03_002K_M12_multi_20160128_091500Z.aif	24.2600	2.1500	12.08	NARW		v
275	Spectrogram 1	1	206203.220000000	206205.940000000	53.400	255.700		57	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_091500Z.aif	71485MD03_002K_M12_multi_20160128_091500Z.aif	103.2200	2.7200	11.11	NARW		v
276	Spectrogram 1	2	206497.720000000	206500.100000000	84.000	244.300		57	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_091500Z.aif	71485MD03_002K_M12_multi_20160128_091500Z.aif	397.7200	2.3800	14.02	NARW		v
277	Spectrogram 1	11	211794.720000000	211797.610000000	68.700	225.200		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	294.7200	2.8900	14.77	NARW		v
278	Spectrogram 1	7	211794.840000000	211796.820000000	68.700	248.100		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	294.8400	1.9800	17.09	NARW		v
279	Spectrogram 1	8	211797.440000000	211799.820000000	53.400	251.900		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	297.4400	2.3800	15.60	NARW		v
280	Spectrogram 1	9	211798.180000000	211800.440000000	45.800	240.500		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	298.1800	2.2600	14.89	NARW		v
281	Spectrogram 1	4	211798.860000000	211801.460000000	68.700	183.200		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	298.8600	2.6000	13.90	NARW		v
282	Spectrogram 1	6	211799.760000000	211802.140000000	57.300	206.100		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	299.7600	2.3800	15.17	NARW		v
283	Spectrogram 1	11	211933.180000000	211935.380000000	53.400	244.300		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	433.1800	2.2000	14.90	NARW		v
284	Spectrogram 1	7	211933.290000000	211935.040000000	76.300	229.000		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	433.2900	1.7500	16.23	NARW		v
285	Spectrogram 1	8	211935.780000000	211937.870000000	68.700	209.900		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	435.7800	2.0900	16.57	NARW		v
286	Spectrogram 1	9	211936.340000000	211938.720000000	64.900	248.100		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	436.3400	2.3800	15.04	NARW		v
287	Spectrogram 1	4	211937.760000000	211939.400000000	61.100	225.200		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	437.7600	1.6400	15.35	NARW		v
288	Spectrogram 1	6	211938.500000000	211940.020000000	76.300	229.000		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	438.5000	1.5200	14.87	NARW		v
289	Spectrogram 1	7	212187.940000000	212189.410000000	76.300	171.800		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	687.9400	1.4700	15.27	NARW		v
290	Spectrogram 1	11	212187.990000000	212189.860000000	76.300	190.800		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	687.9900	1.8700	15.12	NARW		v
291	Spectrogram 1	8	212190.880000000	212192.350000000	80.200	187.000		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	690.8800	1.4700	14.09	NARW		v
292	Spectrogram 1	9	212191.560000000	212193.820000000	57.300	217.600		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	691.5600	2.2600	13.83	NARW		v
293	Spectrogram 1	4	212192.630000000	212194.030000000	70.700	182.700		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	692.6300	1.4000	12.22	NARW		v
294	Spectrogram 1	6	212193.260000000	212194.670000000	87.800	190.800		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	693.2600	1.4100	11.89	NARW		v
295	Spectrogram 1	6	212234.520000000	212237.460000000	72.500	297.700		58	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_104500Z.aif	71485MD03_002K_M12_multi_20160128_104500Z.aif	734.5200	2.9400	13.53	NARW		v
296	Spectrogram 1	11	212707.720000000	212709.870000000	49.600	194.700		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	307.7200	2.1500	14.44	NARW		v
297	Spectrogram 1	7	212756.620000000	212758.610000000	45.800	194.700		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	356.6200	1.9900	15.27	NARW		v
298	Spectrogram 1	11	212756.960000000	212759.000000000	53.400	190.800		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	356.9600	2.0400	15.40	NARW		v
299	Spectrogram 1	8	212760.190000000	212762.400000000	45.800	194.700		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	360.1900	2.2100	14.91	NARW		v
300	Spectrogram 1	7	212819.400000000	212821.430000000	91.600	217.600		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	419.4000	2.0300	14.23	NARW		v
301	Spectrogram 1	11	212820.080000000	212822.000000000	72.500	221.400		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	420.0800	1.9200	14.84	NARW		v
302	Spectrogram 1	8	212822.910000000	212824.770000000	91.600	206.100		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	422.9100	1.8600	14.79	NARW		v
303	Spectrogram 1	4	212824.210000000	212825.910000000	99.200	217.600		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	424.2100	1.7000	14.76	NARW		v
304	Spectrogram 1	7	212978.950000000	212981.440000000	34.400	248.100		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	578.9500	2.4900	17.44	NARW		v
305	Spectrogram 1	11	212979.060000000	212981.730000000	34.400	263.400		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	579.0600	2.6700	17.76	NARW		v
306	Spectrogram 1	8	212982.520000000	212985.010000000	42.000	267.200		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	582.5200	2.4900	16.40	NARW		v
307	Spectrogram 1	9	212983.420000000	212985.180000000	49.600	217.600		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	583.4200	1.7600	14.12	NARW		v
308	Spectrogram 1	4	212983.480000000	212985.690000000	45.800	271.000		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	583.4800	2.2100	18.77	NARW		v
309	Spectrogram 1	6	212984.440000000	212986.710000000	49.600	267.200		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	584.4400	2.2700	16.55	NARW		v
310	Spectrogram 1	7	212990.050000000	212991.630000000	84.000	213.700		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	590.0500	1.5800	16.23	NARW		v
311	Spectrogram 1	11	212990.100000000	212992.540000000	84.000	251.900		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	590.1000	2.4400	14.77	NARW		v
312	Spectrogram 1	8	212993.100000000	212994.970000000	91.600	217.600		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	593.1000	1.8700	14.11	NARW		v
313	Spectrogram 1	11	213095.780000000	213098.040000000	68.700	202.300		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	695.7800	2.2600	15.00	NARW		v
314	Spectrogram 1	7	213095.890000000	213097.650000000	61.100	213.700		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	695.8900	1.7600	16.65	NARW		v
315	Spectrogram 1	8	213098.950000000	213101.330000000	53.400	217.600		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	698.9500	2.3800	16.28	NARW		v
316	Spectrogram 1	4	213100.190000000	213102.460000000	68.700	209.900		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	700.1900	2.2700	14.07	NARW	?	v
317	Spectrogram 1	6	213100.990000000	213103.140000000	61.100	221.400		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	700.9900	2.1500	16.75	NARW		v
318	Spectrogram 1	7	213139.140000000	213141.630000000	76.300	187.000		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	739.1400	2.4900	13.98	NARW		v
319	Spectrogram 1	11	213139.250000000	213141.800000000	80.200	175.600		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	739.2500	2.5500	15.71	NARW		v
320	Spectrogram 1	8	213142.650000000	213144.970000000	80.200	171.800		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	742.6500	2.3200	14.43	NARW		v
321	Spectrogram 1	4	213144.060000000	213146.210000000	87.800	183.200		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	744.0600	2.1500	15.20	NARW		v
322	Spectrogram 1	7	213252.400000000	213254.660000000	87.800	175.600		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	852.4000	2.2600	15.36	NARW		v
323	Spectrogram 1	11	213252.460000000	213254.780000000	80.200	171.800		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	852.4600	2.3200	13.38	NARW		v
324	Spectrogram 1	8	213255.570000000	213257.780000000	76.300	171.800		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	855.5700	2.2100	14.16	NARW		v
325	Spectrogram 1	7	213295.930000000	213297.740000000	99.200	229.000		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	895.9300	1.8100	12.49	NARW		v
326	Spectrogram 1	11	213296.040000000	213298.140000000	99.200	194.700		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	896.0400	2.1000	13.40	NARW		v
327	Spectrogram 1	8	213299.150000000	213301.420000000	103.100	187.000		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_110000Z.aif	71485MD03_002K_M12_multi_20160128_110000Z.aif	899.1500	2.2700	11.99	NARW		v
328	Spectrogram 1	7	213316.590000000	213319.250000000	45.800	217.600		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_111500Z.aif	71485MD03_002K_M12_multi_20160128_111500Z.aif	16.5900	2.6600	16.87	NARW		v
329	Spectrogram 1	11	213316.870000000	213319.250000000	42.000	183.200		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_111500Z.aif	71485MD03_002K_M12_multi_20160128_111500Z.aif	16.8700	2.3800	17.87	NARW		v
330	Spectrogram 1	8	213320.320000000	213322.640000000	38.200	179.400		59	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_111500Z.aif	71485MD03_002K_M12_multi_20160128_111500Z.aif	20.3200	2.3200	15.73	NARW		v
